year,beta,lo,hi
2011,2.725653066845928,0.14439502817819028,5.306911105513665
2012,-1.0847367125774907,-3.0727390023120895,0.9032655771571079
2013,0.035257378700910724,0.01631088473513379,0.054203872666687664
2014,1.138040820054773,-0.0021637723280205634,2.2782454124375664
2015,-0.597035486217246,-0.9988217409421898,-0.19524923149230228
2016,-1.821231788873138,-2.698696530365631,-0.9437670473806451
2017,-0.13242078908789212,-0.4586310839218859,0.19378950574610165
2018,-0.6377202195197116,-0.6519916762085445,-0.6234487628308787
2019,-1.4753855999723453,-1.9706678282068761,-0.9801033717378145
2020,-0.8690723965354548,-1.3047806976007867,-0.4333640954701227
2021,-0.34903488960400075,-1.002923907282681,0.3048541280746795
2022,-0.30303973660852224,-0.74673086991685,0.1406513966998056
2023,-1.335924503477869,-1.7225835114908843,-0.9492654954648538
2024,-1.4692957306838124,-1.896161320135262,-1.0424301412323627
2025,0.33236723268682766,-1.1261458762091272,1.7908803415827825
